age,balance,duration,pdays,unemployment,married,education,housing,default,loan,y
32,3616,165,-1,0,0,1,0,0,0,no
57,14093,231,-1,0,1,1,0,0,0,no
41,1567,291,-1,0,0,1,0,0,0,no
41,5426,149,-1,0,1,1,1,0,0,no
30,261,233,137,0,0,1,0,0,0,no
36,2843,473,182,0,0,1,0,0,0,no
31,406,736,-1,1,0,0,0,0,0,yes
36,0,337,-1,0,1,1,1,0,0,no
38,493,553,367,0,0,1,1,0,0,no
49,5996,345,-1,0,1,1,0,0,0,no
57,3777,65,-1,0,0,0,1,0,0,no
34,524,9,-1,0,0,1,0,0,0,no
32,574,259,145,0,0,1,1,0,0,no
37,427,371,-1,0,1,1,1,0,1,no
33,483,280,-1,0,1,1,1,0,0,no
56,3391,243,-1,1,1,0,0,0,0,yes
27,0,435,-1,0,1,0,1,0,0,no
21,2488,258,169,0,0,1,0,0,0,yes
58,1517,7,-1,0,1,1,1,0,0,no
32,217,317,-1,0,1,1,1,0,1,no
33,22,76,207,0,0,1,0,0,0,no
25,331,170,-1,0,0,1,0,0,0,yes
25,505,386,-1,0,0,1,0,0,1,yes
30,1808,83,-1,0,1,1,1,0,0,no
22,4111,65,-1,0,0,1,0,0,1,no
39,52,69,-1,0,1,0,0,0,0,no
46,25,564,-1,0,0,1,0,0,0,no
31,1890,588,-1,0,0,1,1,0,0,no
45,419,113,-1,0,1,0,0,0,0,no
32,2693,16,-1,0,1,1,1,0,0,no
36,-231,779,-1,0,1,1,0,0,1,no
51,-55,281,266,0,0,1,1,1,0,no
34,462,1877,-1,0,0,1,0,0,0,yes
24,119,51,-1,1,0,1,0,0,0,no
45,586,32,-1,0,0,1,0,0,1,no
32,228,176,288,0,0,1,0,0,0,no
77,4659,161,-1,0,0,1,0,0,0,yes
41,168,187,-1,0,1,0,1,0,0,no
37,0,24,-1,0,1,0,1,0,0,no
43,-715,67,-1,0,1,0,1,1,0,no
48,0,85,168,0,1,0,1,0,0,no
27,769,317,-1,0,0,1,1,0,0,no
33,0,236,-1,0,0,1,0,0,0,no
29,428,54,345,0,0,1,1,0,1,no
34,0,71,-1,0,0,1,0,0,0,no
52,-970,489,-1,0,1,1,1,0,0,yes
60,6313,39,-1,0,1,0,0,0,0,no
32,948,204,-1,0,0,1,0,0,0,no
32,0,455,-1,0,0,1,1,0,0,no
56,1877,86,-1,0,0,0,1,0,0,no
31,874,190,-1,0,0,1,1,0,0,no
42,323,280,-1,0,1,1,1,0,1,no
35,106,588,-1,0,1,1,0,0,1,no
56,1906,45,-1,0,1,0,0,0,1,no
48,1152,168,-1,0,1,1,1,0,0,no
46,179,194,436,0,1,1,1,0,0,no
37,391,103,-1,0,0,0,1,0,0,no
41,89,333,-1,0,1,0,1,0,0,no
36,442,102,-1,0,0,1,1,0,1,no
45,-249,92,-1,1,0,0,1,1,1,no
55,8104,213,-1,0,1,1,0,0,0,no
39,501,289,-1,0,1,1,0,0,0,no
35,308,77,-1,0,0,1,0,0,0,no
55,602,324,90,0,1,1,0,0,0,yes
55,273,84,183,0,1,1,1,0,0,no
27,50,168,-1,0,0,1,0,0,0,no
34,1641,380,-1,0,1,1,1,0,0,no
34,20,10,-1,0,1,1,0,0,0,no
25,4590,199,-1,0,0,1,1,0,0,no
41,-256,35,-1,0,0,1,0,0,1,no
43,978,82,-1,0,1,1,1,0,1,no
28,80,676,146,0,0,1,0,0,0,yes
31,2104,455,-1,0,0,1,1,0,0,no
78,499,80,-1,0,1,1,0,0,0,no
45,1269,549,-1,0,0,1,1,0,0,no
48,310,135,-1,0,1,1,0,0,0,no
32,1143,412,-1,0,0,1,1,0,1,no
42,2980,101,-1,0,1,1,0,0,0,no
37,37,253,-1,0,0,1,0,0,0,no
40,462,272,335,0,0,1,1,0,1,no
32,1031,84,-1,0,1,1,1,0,0,no
42,9009,135,-1,0,1,1,0,0,0,no
43,-465,166,-1,0,1,1,1,0,1,no
44,5181,18,-1,0,1,1,1,0,1,no
37,176,147,347,0,1,1,1,0,0,no
37,1699,63,-1,0,1,0,0,0,0,no
37,0,65,119,0,1,1,1,0,0,no
28,172,194,-1,0,0,1,1,0,1,no
32,0,333,-1,0,0,1,0,0,1,no
34,6979,14,-1,0,0,1,1,0,0,no
40,6,140,-1,0,0,1,0,0,0,no
34,-62,109,-1,0,1,1,1,0,0,no
34,1972,61,-1,0,1,1,1,0,0,no
34,899,377,7,0,1,1,1,0,0,no
37,21,96,271,0,0,1,1,0,0,no
36,23,152,347,0,1,1,1,0,0,no
56,-1206,382,-1,0,1,1,1,0,0,yes
49,0,97,-1,0,1,0,1,0,1,no
33,215,543,-1,0,1,1,1,0,0,no
30,1372,240,-1,0,0,1,0,0,0,no
36,1981,48,-1,0,1,1,0,0,0,no
23,9216,471,-1,0,0,1,0,0,0,no
57,39,354,-1,0,0,1,1,0,0,no
27,5563,435,-1,0,0,1,1,0,0,no
38,1,152,-1,0,1,1,0,0,1,no
42,782,285,-1,0,1,1,0,0,0,no
75,3771,185,181,0,1,1,0,0,0,yes
34,992,301,88,0,0,1,1,0,0,no
48,1526,273,-1,0,1,1,0,0,0,no
35,2658,768,141,0,0,1,1,0,0,yes
39,1315,1337,126,0,0,1,1,0,0,no
29,455,403,-1,0,0,1,0,0,0,yes
45,0,139,-1,0,0,1,1,0,0,no
42,2030,196,-1,0,1,1,1,0,1,no
29,1599,115,61,0,1,1,1,0,0,no
38,-196,60,271,0,0,1,1,0,0,no
56,1333,17,-1,0,1,1,0,0,0,no
36,9149,141,-1,0,0,1,1,0,0,no
25,-350,95,-1,0,0,1,1,0,0,no
38,432,10,373,0,1,1,1,0,0,no
57,11494,198,-1,0,1,1,0,0,0,no
31,-253,220,-1,0,1,1,0,1,0,no
42,372,654,-1,0,1,1,1,0,0,yes
45,1410,71,-1,0,1,1,0,0,0,no
30,975,256,351,0,1,1,1,0,0,no
49,305,834,-1,0,1,0,1,0,1,no
49,400,151,-1,0,1,1,0,0,0,no
53,-22,20,-1,0,1,1,1,0,0,no
37,4030,178,-1,0,1,1,1,0,0,no
49,365,59,-1,0,1,0,0,0,0,no
41,204,111,-1,0,1,0,0,0,0,no
54,1691,186,-1,0,1,0,1,0,0,no
32,406,227,-1,0,0,1,1,0,0,no
33,-204,297,-1,0,1,1,0,0,0,no
33,359,210,242,0,1,1,1,0,0,no
36,123,9,-1,0,1,0,1,0,0,no
35,0,112,62,0,1,1,1,0,1,no
52,142,112,-1,0,1,1,0,0,0,no
40,3571,222,-1,0,1,1,0,0,0,no
44,33,195,351,0,0,1,1,0,0,no
45,0,768,91,0,0,1,1,0,0,no
30,3096,123,-1,0,0,1,0,0,0,no
48,20,145,-1,0,0,1,0,1,0,no
33,3576,124,308,0,1,1,1,0,0,no
57,206,216,-1,0,1,0,1,0,0,no
57,7082,69,-1,0,1,0,0,0,0,no
51,1634,168,-1,1,1,1,1,0,0,no
34,1,483,-1,0,0,1,1,0,0,no
50,4012,690,-1,0,1,1,0,0,0,no
44,3762,125,-1,0,1,1,0,0,0,no
27,-247,344,-1,0,1,1,1,0,1,no
50,606,673,-1,0,1,1,1,0,0,no
36,0,60,250,0,1,1,1,0,0,no
42,-189,247,-1,0,1,1,1,0,0,no
32,0,123,-1,1,0,1,0,0,0,no
42,484,144,-1,0,1,1,1,0,0,no
43,0,9,172,0,1,1,0,0,1,no
31,395,155,-1,0,1,1,1,0,0,no
32,2349,134,-1,0,1,1,0,0,0,no
55,410,221,-1,0,0,0,0,0,1,no
58,3401,84,265,0,1,0,1,0,0,no
46,222,71,-1,0,1,0,0,0,0,no
55,989,246,-1,0,1,1,1,0,1,no
34,415,361,-1,0,1,1,0,0,1,no
28,16,119,-1,1,0,1,0,0,0,no
42,7190,375,-1,0,0,1,1,0,0,no
29,482,1097,-1,0,0,1,0,0,1,yes
54,209,97,-1,0,1,1,1,0,1,no
32,0,181,-1,0,0,1,0,0,0,no
39,5803,83,-1,0,0,1,0,0,0,no
53,624,180,-1,0,1,1,0,0,1,no
58,883,543,78,0,1,1,0,0,0,no
40,1516,373,-1,0,1,1,1,0,1,no
29,872,230,-1,0,0,1,1,0,0,no
33,-988,83,-1,0,1,1,1,0,1,no
38,902,58,-1,0,0,1,1,0,0,no
56,1007,88,-1,0,0,1,0,0,0,no
40,0,297,28,0,1,1,1,0,0,no
24,174,487,-1,0,0,1,1,0,1,yes
46,12186,29,-1,0,1,1,0,0,0,no
35,524,484,-1,0,1,1,1,0,0,no
35,0,262,-1,0,0,1,1,0,0,no
34,4,644,-1,0,1,1,1,0,0,no
35,11219,699,79,0,1,1,0,0,0,no
38,0,247,-1,0,0,1,0,0,0,no
50,5776,49,-1,0,1,0,0,0,0,no
51,37,341,-1,0,0,0,1,0,0,no
59,593,64,-1,0,1,1,0,0,0,no
32,1148,121,-1,0,1,1,1,0,0,no
37,3561,98,-1,0,0,1,1,0,0,no
42,63,88,-1,0,0,1,0,0,0,no
40,260,197,-1,0,1,1,0,0,0,no
28,2269,331,-1,0,0,1,1,0,0,no
47,1060,83,-1,0,1,1,1,0,0,no
27,-220,138,-1,0,1,1,1,0,0,no
41,49,312,-1,0,1,1,1,0,0,no
34,69,120,1,0,1,1,0,0,1,yes
50,4108,526,-1,0,1,0,1,0,0,yes
47,480,211,-1,0,1,1,1,0,0,no
53,4994,62,-1,0,1,1,0,0,0,no
53,0,135,-1,0,0,1,1,0,1,no
47,3681,101,-1,0,1,1,0,0,0,no
49,-701,988,-1,0,0,0,1,1,0,yes
29,451,451,-1,0,1,1,0,0,0,no
45,-311,1030,-1,0,0,0,1,0,0,yes
38,593,1484,-1,0,1,1,1,0,1,yes
32,759,317,-1,0,1,1,1,0,0,yes
70,4531,445,-1,0,0,0,0,0,0,no
65,1840,383,188,0,0,0,0,0,0,no
56,345,605,-1,0,1,1,1,0,0,no
35,1287,330,-1,0,1,1,1,0,0,no
56,353,171,-1,0,1,0,0,0,1,no
56,205,442,-1,0,1,1,0,0,1,no
49,687,772,-1,0,1,1,1,0,0,yes
38,1147,249,-1,1,1,0,1,0,1,no
35,4286,357,-1,0,1,1,1,0,0,no
38,605,147,-1,0,1,1,0,0,0,no
49,8545,199,167,0,1,1,1,0,1,no
55,559,271,-1,0,1,0,0,0,0,no
43,2,783,-1,0,0,0,1,0,0,no
43,2,472,-1,0,1,1,0,0,1,no
25,760,223,89,0,0,1,1,0,0,yes
30,1317,395,-1,0,1,0,1,0,0,no
46,182,56,-1,0,1,1,0,0,0,no
50,276,641,-1,0,1,0,0,0,1,no
35,2971,429,164,0,1,1,0,0,0,yes
26,1064,113,-1,1,0,1,0,0,0,no
45,1783,11,-1,0,1,0,0,0,0,no
37,-67,157,-1,0,1,1,0,0,0,no
60,179,79,-1,0,0,1,0,0,1,no
38,1199,178,1,0,1,1,0,0,0,yes
47,214,168,-1,0,1,0,1,0,1,no
33,6699,425,462,0,1,1,0,0,0,no
51,1760,162,-1,1,1,1,0,0,1,no
35,145,799,-1,0,0,1,1,0,0,yes
35,978,1370,209,1,1,1,0,0,0,yes
48,1150,357,-1,0,0,1,1,0,0,no
37,121,22,-1,0,1,1,0,0,0,no
29,828,215,321,0,0,1,1,0,0,no
34,244,56,-1,0,1,1,1,0,0,no
32,228,1017,-1,0,1,0,1,0,0,yes
30,424,298,-1,0,0,1,0,0,0,yes
47,447,126,-1,0,0,1,0,0,1,no
33,-195,9,-1,0,1,0,0,0,0,no
33,1410,8,254,0,0,1,1,0,0,no
63,1084,201,183,0,1,0,0,0,0,no
51,10924,106,-1,0,0,0,0,0,0,no
41,832,164,176,0,1,1,1,0,1,no
56,478,97,-1,0,1,1,0,0,0,no
60,0,151,-1,0,0,1,0,0,1,no
41,3950,96,-1,0,0,1,1,0,0,no
37,504,555,-1,0,0,0,1,0,0,no
36,219,270,347,0,0,1,1,0,1,no
57,1602,339,-1,0,1,1,0,0,0,no
55,2587,328,94,0,1,0,0,0,0,yes
44,0,159,-1,0,1,1,1,0,1,no
47,2303,323,364,0,1,1,1,0,0,no
31,1660,342,-1,0,1,1,1,0,0,no
35,32,180,-1,0,1,1,1,1,0,no
39,278,60,-1,0,1,1,0,0,1,no
50,4,223,96,0,1,1,0,0,0,no
29,318,1434,356,0,1,1,1,0,0,no
30,209,30,-1,0,0,1,1,0,0,no
46,271,134,-1,0,1,1,1,0,0,no
27,3196,10,-1,0,0,0,0,0,0,no
48,4099,397,-1,0,0,1,0,0,0,yes
26,2572,620,-1,0,0,1,1,0,0,no
36,339,6,-1,0,0,1,0,0,0,no
42,0,209,-1,0,1,0,1,0,1,no
50,395,419,-1,0,1,0,1,0,0,no
49,2039,283,-1,0,1,1,1,0,0,no
45,5450,188,-1,0,1,1,0,0,0,no
23,780,267,-1,0,0,1,0,0,0,no
38,0,196,-1,0,0,1,1,0,0,no
32,8436,245,149,0,0,1,1,0,0,no
60,11262,323,-1,0,0,0,0,0,0,yes
30,946,1065,183,0,1,1,1,0,0,no
58,497,138,-1,0,1,1,0,0,0,no
60,55,207,-1,0,1,0,0,0,0,no
38,-140,456,-1,0,1,1,0,0,0,no
51,-379,261,-1,0,1,1,1,0,0,no
42,-396,80,308,0,1,1,1,0,0,no
30,0,131,363,0,0,1,1,0,0,no
40,733,94,-1,0,1,0,1,0,0,no
37,393,567,275,0,1,1,1,0,0,yes
53,7290,153,-1,0,0,0,1,0,0,no
27,468,109,-1,0,0,1,1,0,0,no
39,0,53,325,0,1,1,1,0,0,no
39,3705,77,-1,0,1,0,1,0,0,no
59,9676,234,-1,0,1,1,0,0,0,yes
37,1328,121,341,0,1,1,1,0,0,no
41,8,155,-1,0,1,0,1,0,0,no
45,61,108,-1,0,1,0,0,0,0,no
48,6613,159,-1,0,1,1,0,0,0,no
48,302,208,-1,0,1,1,1,0,0,no
32,1005,215,-1,0,1,1,0,0,0,no
35,109,597,-1,0,1,1,1,0,0,no
33,1240,505,260,0,0,1,1,0,0,no
28,0,380,-1,0,0,0,1,0,1,no
64,2923,120,-1,0,1,0,0,0,0,no
35,0,106,-1,0,1,1,0,0,0,no
33,43,332,358,0,1,1,1,0,0,no
41,288,221,-1,0,1,1,1,0,0,no
34,613,80,-1,0,1,1,1,0,0,no
37,6101,60,87,0,0,1,0,0,0,no
38,168,212,-1,0,1,0,1,0,1,no
39,7685,493,-1,0,1,0,1,0,0,no
35,4515,98,-1,0,0,1,1,0,0,no
28,517,681,-1,0,0,1,0,0,1,yes
27,148,203,-1,0,0,1,0,0,0,no
48,-285,157,-1,0,1,0,0,1,1,no
50,887,287,-1,0,1,1,0,0,0,no
45,3098,159,-1,0,1,1,1,0,0,no
41,744,125,-1,0,1,1,1,0,0,no
39,130,202,-1,0,1,1,0,0,0,no
44,438,37,303,0,1,1,1,0,0,no
54,0,161,98,0,1,1,0,0,0,yes
49,322,72,-1,0,1,1,0,0,0,no
34,186,342,-1,0,0,1,0,0,0,no
75,3810,262,183,0,0,1,1,0,0,yes
42,0,325,-1,0,1,1,0,0,0,no
53,4380,223,-1,0,1,1,0,0,0,no
49,755,1212,-1,0,0,1,0,0,0,yes
31,2070,319,-1,0,0,1,0,0,0,no
45,999,182,-1,0,0,0,0,0,0,no
39,167,330,-1,0,1,1,1,0,1,no
46,1322,514,-1,0,1,1,1,0,1,no
42,1076,213,-1,0,0,1,1,0,0,no
37,502,551,351,0,1,1,1,0,0,no
26,1216,472,-1,0,0,1,1,0,0,no
37,876,140,327,0,0,1,1,0,0,no
36,342,142,-1,0,0,1,1,0,0,no
29,950,135,-1,0,0,0,1,0,0,no
36,973,293,-1,0,1,0,1,0,1,no
26,3825,107,-1,0,1,1,1,0,0,no
32,2366,127,-1,0,1,1,1,0,0,no
40,542,1816,-1,0,1,1,1,0,0,no
53,995,200,-1,0,1,0,0,0,0,no
29,20,418,-1,0,1,1,1,0,0,no
34,228,387,-1,0,0,1,1,0,0,no
43,130,156,337,0,1,1,0,0,0,no
56,217,121,-1,0,1,1,0,0,1,no
55,0,108,-1,0,0,1,0,0,0,no
31,259,47,-1,0,1,1,1,0,0,no
27,619,16,322,0,0,1,1,0,0,no
36,644,54,-1,0,1,1,1,0,0,no
44,22,265,-1,0,1,1,1,0,0,no
37,4303,168,-1,0,0,1,1,0,0,no
30,239,115,-1,0,0,1,1,0,0,no
42,275,31,-1,0,0,1,0,0,0,no
30,1221,279,-1,0,1,1,1,0,0,yes
62,816,28,-1,0,1,1,0,0,0,no
24,1222,369,-1,0,1,1,1,0,0,no
31,2363,247,-1,0,1,1,1,0,0,no
66,2262,155,-1,0,1,1,0,0,0,no
47,2,89,-1,0,1,1,0,0,0,no
39,2,180,-1,0,1,1,1,0,0,no
35,4508,854,-1,0,1,1,1,0,0,yes
35,-402,46,-1,0,0,1,1,0,0,no
27,1577,266,-1,0,1,1,1,0,1,no
32,34,321,-1,0,1,1,1,0,0,no
44,795,99,-1,0,1,1,0,0,0,no
42,117,147,-1,0,1,1,1,0,0,no
34,5462,430,-1,0,0,1,0,0,0,yes
25,402,264,-1,0,0,1,0,0,1,no
40,641,156,-1,0,0,1,0,0,0,no
43,36,118,102,0,0,1,0,0,0,no
55,383,343,-1,1,1,1,0,0,0,no
50,283,226,-1,0,1,1,1,0,0,no
45,0,5,-1,0,0,1,0,0,0,no
35,3102,138,-1,0,0,1,1,0,0,no
32,889,185,99,0,1,1,1,0,0,yes
59,0,722,99,0,1,1,0,0,0,no
34,-370,748,-1,0,1,1,1,0,0,no
39,-606,142,-1,0,1,1,1,0,0,no
40,10378,523,-1,0,0,1,1,0,0,no
36,1313,8,-1,0,0,0,1,0,0,no
40,8969,153,-1,0,1,1,1,0,0,no
55,-196,210,-1,0,1,1,1,0,0,no
38,15,121,-1,0,1,1,1,1,0,no
61,4608,212,-1,0,1,1,0,0,0,yes
41,666,253,-1,0,1,1,1,0,0,no
57,452,139,-1,0,1,0,1,0,0,no
48,149,71,-1,0,1,1,1,0,0,no
77,7802,421,92,0,1,1,0,0,0,yes
35,1453,199,-1,0,1,1,1,0,0,no
54,1480,108,-1,0,1,1,1,0,0,no
37,715,247,-1,0,0,0,1,0,0,no
56,237,236,-1,0,0,1,1,0,0,no
40,694,97,196,0,1,1,1,0,0,no
40,0,109,-1,0,1,1,0,0,0,no
54,55,112,-1,0,1,1,1,0,0,no
55,136,15,-1,0,1,0,1,0,0,no
55,-404,502,-1,0,0,1,1,1,0,no
52,779,30,-1,0,1,0,1,0,0,no
55,1187,193,-1,0,0,0,1,0,0,no
33,641,347,-1,0,1,1,1,0,0,no
52,826,468,-1,0,1,0,1,0,0,no
33,991,148,-1,0,0,1,1,0,0,no
53,1796,295,91,0,1,1,0,0,0,yes
46,22,388,-1,0,1,1,0,0,0,yes
44,244,1735,-1,0,0,1,1,0,0,yes
48,1328,339,-1,0,0,1,1,0,0,no
50,7317,172,370,0,1,1,1,0,0,no
34,4943,117,-1,0,0,1,1,0,1,no
38,258,587,-1,0,0,1,0,0,1,no
42,515,501,-1,0,0,1,1,0,0,no
32,12607,203,84,0,0,1,0,0,0,no
58,2,282,-1,0,1,1,1,0,1,no
31,13,110,-1,0,1,1,0,0,0,no
19,103,104,-1,0,0,0,0,0,0,yes
41,3872,231,-1,0,1,1,0,0,0,no
31,296,378,-1,1,1,1,1,0,0,no
52,217,193,-1,0,0,0,0,0,1,no
42,360,110,-1,0,0,1,1,0,0,no
41,428,92,-1,0,0,1,1,0,0,no
30,315,1407,-1,0,0,1,0,0,0,yes
38,121,168,212,0,1,1,1,0,1,no
32,820,738,-1,0,1,1,1,0,0,no
52,195,220,63,0,1,1,1,0,0,yes
48,108,89,-1,0,0,1,1,0,0,no
36,-381,30,-1,0,1,1,1,0,0,no
45,757,103,325,1,0,0,0,0,0,no
34,691,70,-1,0,1,1,1,0,1,no
36,1925,904,-1,0,1,0,1,0,0,yes
34,902,159,367,0,1,1,1,0,0,no
61,5207,336,81,0,1,1,0,0,0,no
54,0,220,-1,0,1,1,0,0,0,no
50,665,238,-1,0,1,1,0,0,0,no
43,738,585,191,0,0,1,1,0,0,no
47,233,293,-1,0,1,0,0,0,0,no
45,-839,68,-1,0,1,1,1,0,0,no
57,5799,97,-1,0,1,0,0,0,0,no
27,1033,1713,-1,0,1,1,1,0,0,no
49,66,218,-1,1,0,1,0,0,0,no
43,2567,109,360,0,1,0,1,0,0,no
40,1584,661,-1,0,1,1,1,0,0,no
32,182,145,-1,0,0,1,1,0,0,no
58,76,54,-1,0,1,0,1,0,0,no
34,663,111,-1,0,0,1,1,0,0,no
46,3455,566,-1,0,0,1,1,0,0,no
29,15,136,-1,0,1,1,0,0,0,no
52,1054,273,-1,0,1,0,0,0,0,no
45,1529,160,-1,0,1,1,0,0,0,no
26,63,76,-1,0,0,1,0,0,0,no
40,0,44,-1,0,1,1,0,0,0,no
41,920,239,-1,0,1,1,1,0,1,no
47,3696,250,181,0,0,1,0,0,0,yes
27,59,792,-1,0,0,0,0,0,0,no
27,0,198,-1,0,1,1,1,0,0,no
48,157,73,-1,0,1,1,1,0,0,no
49,2465,157,-1,0,1,1,0,0,0,no
35,0,90,-1,0,1,0,1,0,0,no
47,2,236,-1,0,1,1,0,1,0,no
54,0,118,-1,0,1,1,0,0,0,no
39,12437,40,-1,0,0,1,0,0,0,no
28,378,346,-1,0,0,1,1,0,0,no
54,211,200,-1,0,1,0,0,0,0,no
34,-228,187,332,0,1,1,1,0,0,no
63,2747,113,80,0,1,1,0,0,0,no
42,1932,192,-1,0,1,1,1,0,0,no
43,11269,92,-1,0,0,1,0,0,0,no
37,1314,682,85,0,1,1,1,0,0,no
55,2275,139,-1,0,1,0,0,0,0,no
43,1304,501,-1,0,0,1,0,0,0,yes
41,720,651,-1,0,1,1,0,1,1,yes
47,2914,405,-1,0,0,1,1,0,0,no
34,1464,350,-1,0,1,1,1,0,0,no
28,11555,125,-1,0,0,1,0,0,0,no
36,-302,36,-1,0,1,1,1,0,0,no
50,2497,35,176,0,1,1,1,0,0,no
35,-339,389,-1,0,1,1,1,0,0,no
40,56,194,247,0,1,1,1,0,1,no
26,211,168,-1,0,0,1,0,0,0,no
36,3611,347,-1,0,0,1,1,0,0,no
59,0,3025,-1,1,1,0,0,0,0,no
28,459,83,-1,0,0,1,0,0,0,no
46,242,332,-1,0,1,0,1,0,0,no
50,1138,219,-1,0,1,1,0,0,0,no
53,1319,427,150,0,1,1,1,0,0,no
81,1,65,-1,0,1,1,0,0,0,no
35,67,192,-1,0,0,1,1,0,0,no
58,937,155,-1,0,1,0,0,0,0,no
44,0,161,-1,0,1,1,1,0,1,no
38,-558,533,-1,0,1,1,1,0,0,no
49,171,19,175,0,1,1,0,0,0,no
33,696,193,176,0,0,1,0,0,1,no
29,361,819,-1,0,1,1,1,0,1,no
28,227,278,-1,0,0,1,0,0,0,yes
31,236,211,-1,0,1,1,1,0,1,no
33,-53,617,-1,0,0,1,0,0,0,no
52,192,61,-1,0,1,1,1,0,0,no
43,38,197,-1,0,0,1,1,0,0,no
32,518,34,-1,0,0,1,1,0,0,no
36,16,95,-1,0,1,1,1,0,1,no
41,-256,147,-1,0,1,1,1,0,0,no
43,105,668,-1,0,1,1,0,0,1,no
45,334,87,-1,0,1,1,0,0,0,no
39,1048,405,-1,0,1,1,0,0,1,no
41,108,83,-1,0,1,1,1,0,1,no
31,660,115,-1,0,1,1,0,0,0,no
37,0,108,-1,1,0,1,1,1,0,no
28,1034,113,-1,0,1,0,0,0,0,no
